id,city,country,weeds,garden
9f54f20b-c2e8-41ad-a9ec-b99ce2227983,Edmonton,Netherlands,Purslane,Aubergine
32639a1f-09a4-4d09-a492-40143ec5b220,Wonsan,Argentina,Chickweed,Aubergine
87253769-0cd1-42f4-9261-f23500bd0ad0,Johor Bahru,Russian Federation,Chickweed,Plantain
f1b889a0-602c-4e4d-8477-63130ab20c55,Newcastle,Malawi,Crabgrass,Carrot
b6dc9c49-b2a0-4e28-955a-40de92f8b38f,Iquique,Lithuania,Creeping buttercup,Plantain
a51d1028-b6ff-414f-bd5c-74158237c1f4,Almaty,Brazil,Plantain,Clover
d4d1db1d-caca-42e1-b324-b875daf99334,Angra do Heroísmo,San Marino,Bindweed,Clover
7890b036-55b3-448f-beb7-4ed064b17b36,Jacksonville,Gibraltar,Plantain,Aubergine
ec06692f-60ca-4537-a96a-0c9b0bba4671,Lusaka,Nepal,Purslane,Clover
3d3943fb-c071-4344-8785-6ec290cf2883,Da Nang,Japan,Chickweed,"Strawberry "
6b25a187-7900-41a1-954b-4abec8a7a010,Livingstone,Slovenia,Chickweed,Clover
e0098b7f-7042-4876-bde3-a92e3d86792c,Lucknow,Namibia,Bindweed,Carrot
5ccacb49-6ad4-4eb9-a2fe-4d3d47e3924f,Cusco,French Southern Territories,Clover,Aubergine
a2ee3bdb-d864-47be-a9d6-811671e03a72,Toulouse,Azerbaijan,Bindweed,Aubergine
11590e37-fa97-401e-a548-8fcaa89c149e,Maseru,Bahrain,Bindweed,Chickweed
9ef54c5a-0008-45e5-8051-4dd9b437edca,Minneapolis,Azerbaijan,Crabgrass,Clover
23e86d73-5065-4072-a736-e0556342e500,Shillong,Saint Helena,Creeping buttercup,Sunflower
8a4f23b5-dcf7-43b0-bcbe-7590a11b7258,Maputo,Guam,Plantain,Plantain
a74d2310-7bce-424f-a37d-9022f3334fd7,Padang,Malaysia,Japanese knotweed,Clover
bf42c460-cba0-4e3c-8b45-f13e063bd02c,Marrakech,Bosnia and Herzegovina,Clover,Aubergine
57e52286-c097-4aea-bacb-2a7a29c04cbc,Minsk,Belize,Creeping buttercup,"Strawberry "
e160bc7f-baed-41ff-bf3b-2212c009b94c,San Juan,Isle of Man,Plantain,Clover
2db9d338-bdf9-4005-8910-71aeeb13446e,Curitiba,Cape Verde,Purslane,Clover
aaf6e22d-444f-468c-bcd2-72cca760c41d,Conakry,Ecuador,Crabgrass,"Strawberry "
f8801c8f-73a8-4fbb-a7be-5b5f463f2ea1,Seville,Isle of Man,Chickweed,Carrot
44e308b1-6087-4c36-91f9-9241fd06ec42,Jeddah,France,Clover,Carrot
5ed3c9ca-7618-4e3d-a02e-7d5ca7b4859f,Zhengzhou,Holy See (Vatican City State),Plantain,Clover
a7939d34-0842-4790-b703-101d9a9786d1,Havana,Botswana,Clover,"Strawberry "
6ae6d775-42ab-4ad1-b5d0-80c83393b30a,Cebu City,Czech Republic,Crabgrass,Clover
eca1c350-7840-4c66-8a32-87cbc139701e,Malang,Romania,Crabgrass,Cucumber
24da6219-f2f5-4a68-9854-e2e0ce941e9b,Durban,Ghana,Clover,Clover
f5597a64-10b8-4bf3-857f-70bcd0186084,Maseru,Croatia,Clover,Cucumber
66d619d5-8994-4328-94d6-3ce9d494668f,Libreville,Lebanon,Clover,"Strawberry "
6e2041ec-8d13-4b27-b665-d3551b02a12e,Shenyang,Anguilla,Plantain,Carrot
62d3fe1b-5bdd-4cbf-bea0-08897313c2ba,Murmansk,Niue,Creeping buttercup,Clover
7f55aa74-dc9f-457f-ba11-af56a87b97a9,Seoul,Jersey,Creeping buttercup,Clover
6f0820ec-8c0a-4234-b891-d2e4ffa3284c,Sacramento,Barbados,Creeping buttercup,Clover
82c8994c-3704-4f55-bd3b-aa67a33fe106,Kharkiv,"Macedonia, The Former Yugoslav Republic of",Plantain,"Strawberry "
b05053a6-949e-416f-8954-3704bf68c74b,Paramaribo,Romania,Purslane,Clover
aafe041d-8371-460f-aa3f-88ededc4cbd6,Brazzaville,United States,Japanese knotweed,Clover
454b7b72-667a-43ee-b9de-59fd3c53f4f1,Cayenne,Mauritius,Bindweed,Sunflower
3bc6803f-1ae1-4ba8-8189-380dc373857a,Saint-Denis,Lithuania,Crabgrass,Chickweed
96245990-da52-4b27-a368-c08103db767f,Nuuk,Niue,Plantain,Cucumber
9396ff6a-b5fe-4d3f-9d3d-39a54bae7a5d,Gaborone,Mexico,Clover,Cucumber
f453cee6-70fa-4c60-b680-2a48bd362c08,Manaus,Guam,Bindweed,Clover
d397f306-c13a-498a-8c6d-6b863ba64718,Oklahoma City,Saint Pierre and Miquelon,Clover,Clover
894c8262-220f-4655-bc09-47f700fa78d4,Greenwich,Lithuania,Japanese knotweed,Carrot
cc45a97d-be79-4da4-86ea-6fe7150cb70c,San Diego,Algeria,Chickweed,Sunflower
20484773-c21f-4d07-ab76-c34ca1855359,Strasbourg,Central African Republic,Clover,Carrot
afa0cf8e-ce3b-42c8-ac08-c3eb8e7ccf8f,Hyderabad,"Korea, Republic of",Creeping buttercup,Carrot
e2bc16a4-1eb9-4f55-ba4e-1460f96bd784,Jerusalem,Afghanistan,Creeping buttercup,Clover
fb7e71ef-4aeb-4a8d-b84e-4cc6dcc4a61a,Tirana,Azerbaijan,Bindweed,Plantain
